Element,Ion,line_centre,LEP,loggf,REF,line_start,line_end,segment_start,segment_end
Fe,1,4788.7786,4.143,-2.523,K14,4788.555,4788.996,4787.5,4790
Fe,1,4793.9614,3.047,-3.43,MRW,4793.831,4794.149,4792.8,4795.5
Fe,1,4794.3541,2.424,-3.95,MRW,4794.237,4794.546,4792.8,4795.5
Fe,1,4802.8746,3.695,-2.028,K14,4802.674,4803.086,4801.7,4804.1
Fe,1,4802.8797,3.642,-1.51,BWL,4802.674,4803.086,4801.7,4804.1
Fe,1,4803.0294,5.064,-2.947,K07,4802.674,4803.086,4801.7,4804.1
Fe,1,4808.1478,3.251,-2.69,MRW,4807.995,4808.328,4807,4809.3
Fe,1,4875.877,3.332,-1.9,2014MNRAS.441.3127R,4875.75,4876.1,4874.75,4877.1
Fe,2,4889.6227,0.048,-8.099,K13,4889.5,4890.999,4888.5,4893.5
Fe,2,4889.6848,7.988,-3.755,RU,4889.5,4890.999,4888.5,4893.5
Fe,2,4889.7133,0.107,-14.024,K13,4889.5,4890.999,4888.5,4893.5
Fe,2,4889.7133,0.107,-12.194,K13,4889.5,4890.999,4888.5,4893.5
Fe,1,4889.774,3.634,-9.848,K14,4889.5,4890.999,4888.5,4893.5
Fe,1,4890.5192,4.301,-3.846,K14,4889.5,4890.999,4888.5,4893.5
Fe,1,4890.7551,2.876,-0.386,BWL+2014MNRAS.441.3127R,4889.5,4890.999,4888.5,4893.5
Fe,1,4890.8477,4.549,-5.094,K14,4889.5,4890.999,4888.5,4893.5
Fe,1,4890.9101,4.22,-2.45,K14,4889.5,4890.999,4888.5,4893.5
Fe,1,4890.962,4.584,-4.912,K14,4889.5,4890.999,4888.5,4893.5
Fe,1,4891.4921,2.851,-0.111,BWL,4891.257,4892.5,4888.5,4893.5
Fe,1,4891.7573,4.473,-5.095,K14,4891.257,4892.5,4888.5,4893.5
Fe,2,4892.2622,6.703,-3.068,RU,4891.257,4892.5,4888.5,4893.5
Fe,1,5651.4689,4.473,-1.9,MRW,5651.315,5651.646,5650.3,5653.5
Fe,2,5651.5235,10.629,-0.615,RU,5651.315,5651.646,5650.3,5653.5
Fe,1,5651.5251,4.446,-4.761,K07,5651.315,5651.646,5650.3,5653.5
Fe,2,5651.6338,10.629,-1.01,RU,5651.315,5651.646,5650.3,5653.5
Fe,1,5652.3176,4.26,-1.85,MRW,5652.11,5652.533,5650.3,5653.5
Fe,1,5661.2361,4.795,-3.942,K14,5661.164,5661.653,5660.2,5663.7
Fe,1,5661.2813,4.191,-3.501,K14,5661.164,5661.653,5660.2,5663.7
Fe,1,5661.3447,4.284,-1.756,BK,5661.164,5661.653,5660.2,5663.7
Fe,1,5662.5161,4.178,-0.447,BWL+GESHRL14,5662.3,5662.7,5660.2,5663.7
Fe,1,5679.0229,4.652,-0.82,MRW,5678.81,5679.348,5677.8,5681.5
Fe,1,5679.0351,5.341,-6.579,K07,5678.81,5679.348,5677.8,5681.5
Fe,1,5679.1187,5.033,-1.984,K14,5678.81,5679.348,5677.8,5681.5
Fe,2,5680.1971,3.387,-10.126,K13,5680.076,5680.473,5677.8,5681.5
Fe,2,5680.1971,3.387,-9.208,K13,5680.076,5680.473,5677.8,5681.5
Fe,1,5680.2404,4.186,-2.48,MRW,5680.076,5680.473,5677.8,5681.5
Fe,1,5696.0892,4.549,-1.72,BK,5695.942,5696.223,5694.1,5697.2
Fe,2,5696.1099,2.642,-8.103,K13,5695.942,5696.223,5694.1,5697.2
Fe,1,5701.4161,3.211,-3.848,K14,5701.35,5701.8,5700.35,5702.8
Fe,1,5701.5136,4.913,-1.251,K14,5701.35,5701.8,5700.35,5702.8
Fe,1,5701.5442,2.559,-2.193,BK+GESB82d+BWL,5701.35,5701.8,5700.35,5702.8
Fe,1,5705.2799,4.988,-2.792,K14,5705.207,5705.703,5704.2,5706.7
Fe,1,5705.3275,4.218,-4.127,K14,5705.207,5705.703,5704.2,5706.7
Fe,1,5705.4642,4.301,-1.355,BK,5705.207,5705.703,5704.2,5706.7
Fe,1,5731.7618,4.256,-1.2,MRW,5731.5,5732.083,5730.1,5733.5
Fe,1,5732.296,4.991,-1.46,MRW,5732.089,5732.483,5730.1,5733.5
Fe,1,5741.8477,4.256,-1.672,BWL,5741.508,5742.007,5740.4,5744.3
Fe,2,5741.9225,9.13,-3.303,RU,5741.508,5742.007,5740.4,5744.3
Fe,1,5774.9157,4.593,-3.385,K14,5774.815,5775.403,5773.02,5777.3
Fe,1,5775.0541,0.052,-10.111,K07,5774.815,5775.403,5773.02,5777.3
Fe,1,5775.0805,4.22,-1.08,2014ApJS..215...23D,5774.815,5775.403,5773.02,5777.3
Fe,2,5775.1712,6.807,-4.134,RU,5774.815,5775.403,5773.02,5777.3
Fe,2,5778.3521,1.076,-10.752,K13,5778.2,5778.7,5777.3,5779.3
Fe,1,5778.4526,4.154,-4.363,K14,5778.2,5778.7,5777.3,5779.3
Fe,1,5778.4533,2.588,-3.43,BK,5778.2,5778.7,5777.3,5779.3
Fe,1,5806.627,4.913,-2.121,K14,5806.5,5806.9,5805.5,5808
Fe,1,5806.7249,4.608,-0.95,MRW,5806.5,5806.9,5805.5,5808
Fe,2,5806.8216,10.678,-1.324,RU,5806.5,5806.9,5805.5,5808
Fe,1,5809.1556,3.695,-3.135,K14,5809,5809.5,5808,5810.5
Fe,1,5809.2174,3.884,-1.74,MRW,5809,5809.5,5808,5810.5
Fe,2,5809.4277,1.097,-10.989,K13,5809,5809.5,5808,5810.5
Fe,1,5811.9144,4.143,-2.33,MRW,5811.8,5812.2,5810.8,5813.2
Fe,2,5811.9462,2.704,-5.913,RU,5811.8,5812.2,5810.8,5813.2
Fe,1,5814.8071,4.283,-1.87,MRW,5814.7,5815,5813.7,5816
Fe,1,5849.4649,5.352,-6.702,K07,5849.463,5849.859,5848.4,5850.85
Fe,1,5849.5659,4.652,-7.234,K14,5849.463,5849.859,5848.4,5850.85
Fe,1,5849.6323,3.635,-4.905,K14,5849.463,5849.859,5848.4,5850.85
Fe,1,5849.6833,3.695,-2.89,MRW,5849.463,5849.859,5848.4,5850.85
Fe,1,5853.1483,1.485,-5.18,MRW,5852.854,5853.309,5852,5854
Fe,1,5855.0758,4.608,-1.478,BK,5854.802,5855.323,5854,5856.3
Fe,1,5858.6234,4.58,-5.962,K14,5858.592,5859.034,5857.5,5860.5
Fe,1,5858.6642,4.559,-3.972,K14,5858.592,5859.034,5857.5,5860.5
Fe,1,5858.778,4.22,-2.16,MRW,5858.592,5859.034,5857.5,5860.5
Fe,1,5858.9784,2.469,-8.503,K14,5858.592,5859.034,5857.5,5860.5
Fe,1,6475.6239,2.559,-2.941,BWL,6475.2,6475.95,6474,6477
Fe,1,6481.7248,3.573,-5.212,K14,6481.591,6482.076,6480.5,6483.4
Fe,1,6481.853,5.314,-4.188,K14,6481.591,6482.076,6480.5,6483.4
Fe,1,6481.8698,2.279,-2.981,BKK+GESB82c+BWL,6481.591,6482.076,6480.5,6483.4
Fe,1,6494.9804,2.404,-1.268,GESB82c+BWL,6494.75,6495.3,6493.75,6496.3
Fe,2,6495.2099,11.093,0.031,K13,6494.75,6495.3,6493.75,6496.3
Fe,1,6498.7529,5.345,-4.512,K14,6498.5,6499.3,6497.5,6500.5
Fe,1,6498.9383,0.958,-4.687,GESB86+BWL,6498.5,6499.3,6497.5,6500.5
Fe,1,6499.0241,5.348,-6.942,K14,6498.5,6499.3,6497.5,6500.5
Fe,1,6499.1838,4.473,-5.988,K14,6498.5,6499.3,6497.5,6500.5
Fe,1,6518.3657,2.832,-2.438,BK+BWL,6518,6518.578,6517,6519.5
Fe,1,6518.5171,5.478,-6.667,K07,6518,6518.578,6517,6519.5
Fe,1,6545.9929,5.314,-3.534,K14,6545.895,6546.67,6544.9,6547.67
Fe,1,6546.2381,2.759,-1.536,BWL,6545.895,6546.67,6544.9,6547.67
Fe,1,6592.9124,2.728,-1.473,BWL,6592.688,6593.45,6591.7,6594.45
Fe,1,6593.4094,5.393,-4.599,K14,6592.688,6593.45,6591.7,6594.45
Fe,1,6593.8695,2.433,-2.42,BIPS,6593.5,6594.27,6591.7,6594.45
Fe,1,6597.3577,5.357,-3.806,K14,6597.235,6597.865,6596.2,6598.8
Fe,2,6597.4691,7.97,-3.052,RU,6597.235,6597.865,6596.2,6598.8
Fe,1,6597.5592,4.795,-0.97,MRW,6597.235,6597.865,6596.2,6598.8
Fe,1,6608.7934,5.33,-4.563,K14,6608.601,6609.416,6607.6,6610.4
Fe,1,6608.9516,4.191,-2.66,K14,6608.601,6609.416,6607.6,6610.4
Fe,1,6609.1097,2.559,-2.691,BIPS,6608.601,6609.416,6607.6,6610.4
Fe,2,6609.2351,7.128,-2.873,RU,6608.601,6609.416,6607.6,6610.4
Fe,1,6627.5438,4.549,-1.59,2014MNRAS.441.3127R,6627.346,6627.849,6626.5,6628.8
Fe,1,6648.0796,1.011,-5.918,GESB86,6647.8,6648.4,6646.8,6649.4
Fe,1,6677.7219,5.478,-2.463,K14,6677.7,6678.3,6676.7,6679.3
Fe,1,6677.7701,4.835,-1.819,K07,6677.7,6678.3,6676.7,6679.3
Fe,1,6677.9534,2.559,-3.671,K14,6677.7,6678.3,6676.7,6679.3
Fe,1,6677.9851,2.692,-1.418,BWL,6677.7,6678.3,6676.7,6679.3
Fe,1,6699.1413,4.593,-2.101,BKK,6698.926,6699.437,6697.9,6700.5
Fe,2,6699.1682,5.956,-4.06,RU,6698.926,6699.437,6697.9,6700.5
Fe,1,6699.3186,4.415,-4.315,K14,6698.926,6699.437,6697.9,6700.5
Fe,1,6703.4199,3.642,-4.084,K14,6703.184,6703.797,6702.2,6704.8
Fe,1,6703.566,2.759,-3.06,MRW,6703.184,6703.797,6702.2,6704.8
Fe,1,6713.5207,5.587,-2.998,K07,6713.5,6714.145,6712.5,6715.2
Fe,1,6713.7425,4.795,-1.5,MRW,6713.5,6714.145,6712.5,6715.2
Fe,1,6714.0955,5.486,-3.739,K07,6713.5,6714.145,6712.5,6715.2
Fe,1,6725.3558,4.103,-2.1,2014MNRAS.441.3127R,6725,6725.6,6724,6726.6
Fe,1,6725.4354,5.607,-2.026,K07,6725,6725.6,6724,6726.6
Fe,1,6732.8102,2.453,-10.34,K07,6732.8,6733.4,6731.8,6734.4
Fe,1,6733.1503,4.638,-1.48,MRW,6732.8,6733.4,6731.8,6734.4
Fe,1,6739.5204,1.557,-4.794,BKK,6739.2,6739.8,6738,6741
Fe,2,4720.1263,9.742,-3.068,RU,4720.001,4720.28,4719,4721
Fe,2,4720.1386,3.197,-4.48,2009A\&A...497..611M:solar-gf,4720.001,4720.28,4719,4721
Fe,2,4731.4476,2.891,-3.1,2009A\&A...497..611M,4731.305,4731.66,4730.3,4732.6
Fe,1,4731.5999,3.686,-2.6,KL-astro,4731.305,4731.66,4730.3,4732.6
Fe,2,4833.1916,2.657,-4.64,2009A\&A...497..611M:solar-gf,4833,4833.265,4832,4834.3
Fe,2,6516.0766,2.891,-3.31,2009A\&A...497..611M,6515.833,6516.412,6514.8,6517
Fe,1,7711.42,5.539,-5.822,K07,7711.252,7712.16,7709,7713.2
Fe,2,7711.4385,5.511,-2.904,RU,7711.252,7712.16,7709,7713.2
Fe,1,7711.5497,5.539,-4.746,K14,7711.252,7712.16,7709,7713.2
Fe,2,7711.7204,3.903,-2.5,2009A\&A...497..611M,7711.252,7712.16,7709,7713.2
Co,1,4781.4283,1.883,-2.15,FMW,4781.128,4781.728,4779.43,4783.43
Co,1,4899.5135,2.042,-1.93,2015ApJS..220...13L,4899.214,4899.814,4897.51,4901.51
Co,1,5647.1129,4.149,-2.415,K08,5647.034,5647.466,5645.23,5649.23
Co,1,5647.2071,2.28,-2.177,2015ApJS..220...13L\_1982ApJ...260..395C,5647.034,5647.466,5645.23,5649.23
Co,1,5647.2197,2.28,-2.393,2015ApJS..220...13L\_1982ApJ...260..395C,5647.034,5647.466,5645.23,5649.23
Co,1,5647.2319,2.28,-2.676,2015ApJS..220...13L\_1982ApJ...260..395C,5647.034,5647.466,5645.23,5649.23
Co,1,5647.243,2.28,-2.335,2015ApJS..220...13L\_1982ApJ...260..395C,5647.034,5647.466,5645.23,5649.23
Co,1,5647.2566,2.28,-2.423,2015ApJS..220...13L\_1982ApJ...260..395C,5647.034,5647.466,5645.23,5649.23
Co,1,5647.2686,2.28,-2.475,2015ApJS..220...13L\_1982ApJ...260..395C,5647.034,5647.466,5645.23,5649.23
Co,1,6490.2428,2.042,-4.231,1999ApJS..122..557N,6490.028,6490.629,6488.33,6492.33
Co,1,6490.2609,2.042,-3.55,1999ApJS..122..557N,6490.028,6490.629,6488.33,6492.33
Co,1,6490.2733,2.042,-3.709,1999ApJS..122..557N,6490.028,6490.629,6488.33,6492.33
Co,1,6490.286,2.042,-3.616,1999ApJS..122..557N,6490.028,6490.629,6488.33,6492.33
Co,1,6490.3012,2.042,-3.543,1999ApJS..122..557N,6490.028,6490.629,6488.33,6492.33
Co,1,6490.319,2.042,-3.487,1999ApJS..122..557N,6490.028,6490.629,6488.33,6492.33
Co,1,6490.3398,2.042,-3.444,1999ApJS..122..557N,6490.028,6490.629,6488.33,6492.33
Co,1,6490.3622,2.042,-3.328,1999ApJS..122..557N,6490.028,6490.629,6488.33,6492.33
Co,1,6490.3863,2.042,-3.223,1999ApJS..122..557N,6490.028,6490.629,6488.33,6492.33
Co,1,6551.4491,1.883,-2.83,2015ApJS..220...13L,6551.149,6551.749,6549.45,6553.45
Co,2,6632.3105,1.217,-9.149,K06,6632.215,6632.777,6630.45,6634.45
Co,1,6632.4064,2.28,-2.478,2015ApJS..220...13L\_1982ApJ...260..395C,6632.215,6632.777,6630.45,6634.45
Co,1,6632.4212,2.28,-2.693,2015ApJS..220...13L\_1982ApJ...260..395C,6632.215,6632.777,6630.45,6634.45
Co,1,6632.4359,2.28,-2.976,2015ApJS..220...13L\_1982ApJ...260..395C,6632.215,6632.777,6630.45,6634.45
Co,1,6632.4505,2.28,-2.636,2015ApJS..220...13L\_1982ApJ...260..395C,6632.215,6632.777,6630.45,6634.45
Co,1,6632.4672,2.28,-2.724,2015ApJS..220...13L\_1982ApJ...260..395C,6632.215,6632.777,6630.45,6634.45
Co,1,6632.4831,2.28,-2.776,2015ApJS..220...13L\_1982ApJ...260..395C,6632.215,6632.777,6630.45,6634.45
Co,1,6678.8091,1.956,-2.67,2015ApJS..220...13L,6678.509,6679.109,6676.81,6680.81
Co,1,7712.6628,2.542,-1.63,2015ApJS..220...13L,7712.44,7713.053,7710.67,7714.67
Co,1,7838.1261,3.971,-0.3,1982ApJ...260..395C,7837.788,7838.499,7836.13,7840.13
Ni,1,5846.9935,1.676,-3.46,2014ApJS..211...20W,5846.796,5847.207,5844.99,5848.99
Ni,1,6586.3098,1.951,-2.78,2014ApJS..211...20W,6585.997,6586.476,6584.31,6588.31
Cu,1,5700.1475,1.642,-3.534,KR|1989ZPhyD..11..287C,5699.935,5700.391,5698.23,5702.23
Cu,1,5700.1676,1.642,-3.057,KR|1989ZPhyD..11..287C,5699.935,5700.391,5698.23,5702.23
Cu,1,5700.1769,1.642,-3.534,KR|1989ZPhyD..11..287C,5699.935,5700.391,5698.23,5702.23
Cu,1,5700.1955,1.642,-3.057,KR|1989ZPhyD..11..287C,5699.935,5700.391,5698.23,5702.23
Cu,1,5700.198,1.642,-3.388,KR|1989ZPhyD..11..287C,5699.935,5700.391,5698.23,5702.23
Cu,1,5700.2075,1.642,-2.978,KR|1989ZPhyD..11..287C,5699.935,5700.391,5698.23,5702.23
Cu,1,5700.2237,1.642,-3.388,KR|1989ZPhyD..11..287C,5699.935,5700.391,5698.23,5702.23
Cu,1,5700.2326,1.642,-2.978,KR|1989ZPhyD..11..287C,5699.935,5700.391,5698.23,5702.23
Cu,1,5700.2674,1.642,-2.689,KR|1989ZPhyD..11..287C,5699.935,5700.391,5698.23,5702.23
Cu,1,5700.2888,1.642,-2.689,KR|1989ZPhyD..11..287C,5699.935,5700.391,5698.23,5702.23
Cu,1,5782.0385,1.642,-2.817,KR|1989ZPhyD..11..287C,5781.901,5782.473,5780.16,5784.16
Cu,1,5782.057,1.642,-2.595,KR|1989ZPhyD..11..287C,5781.901,5782.473,5780.16,5784.16
Cu,1,5782.068,1.642,-2.817,KR|1989ZPhyD..11..287C,5781.901,5782.473,5780.16,5784.16
Cu,1,5782.0852,1.642,-2.595,KR|1989ZPhyD..11..287C,5781.901,5782.473,5780.16,5784.16
Cu,1,5782.0877,1.642,-2.595,KR|1989ZPhyD..11..287C,5781.901,5782.473,5780.16,5784.16
Cu,1,5782.0998,1.642,-2.595,KR|1989ZPhyD..11..287C,5781.901,5782.473,5780.16,5784.16
Cu,1,5782.1137,1.642,-2.595,KR|1989ZPhyD..11..287C,5781.901,5782.473,5780.16,5784.16
Cu,1,5782.125,1.642,-2.595,KR|1989ZPhyD..11..287C,5781.901,5782.473,5780.16,5784.16
Cu,1,5782.1554,1.642,-2.148,KR|1989ZPhyD..11..287C,5781.901,5782.473,5780.16,5784.16
Cu,1,5782.1774,1.642,-2.148,KR|1989ZPhyD..11..287C,5781.901,5782.473,5780.16,5784.16
Zn,1,4722.153,4.03,-0.38,Grevesse2015,4721.709,4722.403,4721.15,4725.15
Zn,1,4810.528,4.078,-0.16,Grevesse2015,4810.3,4810.748,4806.53,4814.53
Rb,1,7800.259,0,0.144,Grevesse2015,7800.138,7800.466,7798.26,7802.26
Sr,1,6550.244,2.69,0.46,VGH,6550.091,6550.442,6548.24,6552.24
Y,1,4819.6383,1.356,-0.462,K06,4819.338,4819.938,4817.64,4821.64
Y,2,4854.8611,0.992,-0.29,2017MNRAS.471..532P,4854.623,4855.101,4852.86,4856.86
Y,1,4854.9573,2.003,-0.201,K06,4854.623,4855.101,4852.86,4856.86
Y,2,4883.6821,1.084,0.1,2017MNRAS.471..532P,4883.45,4883.905,4881.68,4885.68
Y,1,4883.8434,2.353,-1.013,K06,4883.45,4883.905,4881.68,4885.68
Y,2,5662.9241,1.944,0.32,2017MNRAS.471..532P,5662.729,5663.168,5660.92,5664.92
